band_num,width,packetSize,p50,p90,p99,mean,std,le10ms
5,160,1500,288.264,498.535,678.322299999999,285.8966937187434,192.55953943287997,0.05200594353640416
5,160,16384,150.5665,412.586,492.8657499999999,179.51456385583523,155.1892330196002,0.12814645308924486
5,160,32768,220.67999999999998,437.5958,497.22108,216.28186508090613,161.9968418082658,0.08737864077669903
5,160,4096,21.4388,235.117,454.61556,73.0185219116825,107.666211692945,0.3622135271101174
5,160,512,1281.23,4389.43,5182.1216,1658.424331672527,1446.7813704421992,0.016061641977318356
5,160,65507,241.29649999999998,442.23740000000004,497.96885,238.67506489361705,152.42124893962236,0.010638297872340425
5,160,8192,177.924,447.18360000000007,494.34384,210.0229408900285,160.18870041423136,0.09116809116809117
5,80,1500,143.452,429.3123,519.8180000000006,182.95871904864518,162.52030433818712,0.10614465542991253
5,80,16384,235.52749999999997,468.21670000000006,499.71963,245.7996755283019,158.9213026203286,0.052830188679245285
5,80,32768,74.66409999999999,341.1566,483.94346,131.1656410022779,133.11455279904078,0.1366742596810934
5,80,4096,119.67699999999999,428.84020000000015,499.72439,170.0573606907051,163.28089803861795,0.1282051282051282
5,80,512,149.779,807.162,1757.633000000001,320.4632183111483,406.94054353575046,0.15731889062556795
5,80,65507,347.4655,464.03970000000004,497.87578,284.48874154929575,160.07068520390408,0.0
5,80,8192,96.5684,384.209,497.5244,147.11256834430964,147.65173419723772,0.15540150202195263
6,160,1500,82.4838,388.2094000000001,497.2049099999999,140.97158019656328,148.40257736599895,0.1969823973176865
6,160,16384,141.1135,416.16990000000004,499.32141999999993,174.78021348529413,153.1154489066073,0.11990950226244344
6,160,32768,143.263,433.40500000000003,496.84799999999996,186.82555052401747,162.00413226342755,0.09606986899563319
6,160,4096,158.379,425.83240000000006,499.8033199999999,189.13215131221958,156.63233728114238,0.11031934547373977
6,160,512,953.6569999999999,1918.4720000000004,3994.543900000002,1029.7571577204146,844.7890632381973,0.041206662792949836
6,160,65507,47.525549999999996,276.35239999999993,469.52413,98.68045338461539,110.17490391396811,0.011538461538461539
6,160,8192,61.8331,398.557,496.6714,133.3391836195094,151.1384754644766,0.226468910439247
6,80,1500,20.1118,220.54399999999998,478.12339999999983,69.53159232075693,106.03565890697868,0.37846046022660906
6,80,16384,188.225,451.9336000000001,497.47763999999995,209.47512345593873,163.75794904726868,0.09961685823754789
6,80,32768,156.167,462.2642,496.50899999999996,194.7607569859155,163.37899065249223,0.0647887323943662
6,80,4096,282.0845,473.82349999999997,504.02475,270.22772266368514,154.0998850679634,0.04025044722719141
6,80,512,800.5875000000001,2393.4610000000002,3226.842099999998,1011.7618437008412,867.224113492487,0.027514896600070102
6,80,65507,195.655,440.043,501.40700000000004,213.6020912437811,152.34512100275978,0.009950248756218905
6,80,8192,159.353,429.82860000000005,495.2126,187.54284477072613,150.72691080713145,0.10348770726129217
